dataset,theme,table_id,table_name,var_id,description,var_values,national_count,value_id
Base Data Pack,Demography,dem,Demographics,dem_01,Age,80 to 84 years,6356343,18
Base Data Pack,Demography,dem,Demographics,dem_07,Family Size,4-person household,48979010,50
Base Data Pack,Demography,dem,Demographics,dem_11,Profession,Management business and financial occupations,48273466,71
Base Data Pack,Demography,dem,Demographics,dem_01,Age,50 to 54 years,21542424,10
Base Data Pack,Demography,dem,Demographics,dem_06,Marital Status,Divorced,28526712,46
Base Data Pack,Demography,dem,Demographics,dem_10,Education,Bachelor's degree,51862206,67
Base Data Pack,Demography,dem,Demographics,dem_12,Income,$20 000 to $22 499,11245976,101
Base Data Pack,Demography,dem,Demographics,dem_03,Ethnicity,Population of one race: Some other race,14272129,27
Base Data Pack,Demography,dem,Demographics,dem_09,Home Ownership,Renter occupied,90499732,60
Base Data Pack,Demography,dem,Demographics,dem_11,Profession,Legal occupations,3307225,76
Base Data Pack,Demography,dem,Demographics,dem_11,Profession,Personal care and service occupations,4731173,84
Base Data Pack,Demography,dem,Demographics,dem_11,Profession,Production occupations,17249031,90
Base Data Pack,Demography,dem,Demographics,dem_12,Income,$35 000 to $39 999,13721616,105
Base Data Pack,Demography,dem,Demographics,dem_12,Income,$5 000 to $7 499,10197347,95
Base Data Pack,Demography,dem,Demographics,dem_01,Age,67 to 69 years,10345691,15
Base Data Pack,Demography,dem,Demographics,dem_01,Age,55 to 59 years,22436989,11
Base Data Pack,Demography,dem,Demographics,dem_07,Family Size,5-person household,23108006,51
Base Data Pack,Demography,dem,Demographics,dem_12,Income,$17 500 to $19 999,6873566,100
Base Data Pack,Demography,dem,Demographics,dem_04,Language,Speak other & Speak English not at all,2860814,32
Base Data Pack,Demography,dem,Demographics,dem_11,Profession,Transportation occupations,10088019,91
Base Data Pack,Demography,dem,Demographics,dem_11,Profession,Healthcare support occupations,7443058,80
Base Data Pack,Demography,dem,Demographics,dem_12,Income,$55 000 to $64 999,16254849,109
Base Data Pack,Demography,dem,Demographics,dem_12,Income,$45 000 to $49 999,10427108,107
Base Data Pack,Demography,dem,Demographics,dem_13,Family Income,$200 000 or more,26472707,128
Base Data Pack,Demography,dem,Demographics,dem_06,Marital Status,Never married,86978047,43
Base Data Pack,Demography,dem,Demographics,dem_10,Education,Less than 12th grade,26685916,62
Base Data Pack,Demography,dem,Demographics,dem_11,Profession,Construction and extraction occupations,14209360,88
Base Data Pack,Demography,dem,Demographics,dem_13,Family Income,$20 000 to $24 999,8771087,116
Base Data Pack,Demography,dem,Demographics,dem_13,Family Income,$10 000 to $14 999,6241197,114
Base Data Pack,Demography,dem,Demographics,dem_12,Income,$65 000 to $74 999,12703162,110
Base Data Pack,Demography,dem,Demographics,dem_02,Gender,Male,127802538,21
Base Data Pack,Demography,dem,Demographics,dem_12,Income,$22 500 to $24 999,7117880,102
Base Data Pack,Demography,dem,Demographics,dem_05,Commute,Other means,2580688,40
Base Data Pack,Demography,dem,Demographics,dem_08,Live with children,5 years,13275751,56
Base Data Pack,Demography,dem,Demographics,dem_10,Education,Some college less than 1 year,16241470,64
Base Data Pack,Demography,dem,Demographics,dem_12,Income,$25 000 to $29 999,16768208,103
Base Data Pack,Demography,dem,Demographics,dem_05,Commute,Motorcycle,373667,37
Base Data Pack,Demography,dem,Demographics,dem_10,Education,Some college 1 or more years no degree,36460970,65
Base Data Pack,Demography,dem,Demographics,dem_12,Income,$12 500 to $14 999,7696271,98
Base Data Pack,Demography,dem,Demographics,dem_13,Family Income,$50 000 to $59 999,19147536,122
Base Data Pack,Demography,dem,Demographics,dem_01,Age,35 to 39 years,21768087,7
Base Data Pack,Demography,dem,Demographics,dem_05,Commute,Public transportation (excluding taxicab),11747832,35
Base Data Pack,Demography,dem,Demographics,dem_05,Commute,Taxicab,517630,36
